repo_chart_name,repo_url
prometheus-community/kube-prometheus-stack,https://prometheus-community.github.io/helm-charts
ingress-nginx/ingress-nginx,https://kubernetes.github.io/ingress-nginx
argo/argo-cd,https://argoproj.github.io/argo-helm
prometheus-community/prometheus,https://prometheus-community.github.io/helm-charts
bitnami/redis,https://charts.bitnami.com/bitnami
grafana/grafana,https://grafana.github.io/helm-charts
bitnami/postgresql,https://charts.bitnami.com/bitnami
k8s-dashboard/kubernetes-dashboard,https://kubernetes.github.io/dashboard
traefik/traefik,https://traefik.github.io/charts
grafana/loki,https://grafana.github.io/helm-charts
metrics-server/metrics-server,https://kubernetes-sigs.github.io/metrics-server/
gitlab/gitlab,http://charts.gitlab.io/
hashicorp/vault,https://helm.releases.hashicorp.com
bitnami/keycloak,https://charts.bitnami.com/bitnami
jenkinsci/jenkins,https://charts.jenkins.io/
harbor/harbor,https://helm.goharbor.io
bitnami/rabbitmq,https://charts.bitnami.com/bitnami
bitnami/external-dns,https://charts.bitnami.com/bitnami
bitnami/mysql,https://charts.bitnami.com/bitnami
elastic/elasticsearch,https://helm.elastic.co
bitnami/kafka,https://charts.bitnami.com/bitnami
gitlab/gitlab-runner,http://charts.gitlab.io/
aws/aws-load-balancer-controller,https://aws.github.io/eks-charts
bitnami/mongodb,https://charts.bitnami.com/bitnami
nextcloud/nextcloud,https://nextcloud.github.io/helm/
vmware-tanzu/velero,https://vmware-tanzu.github.io/helm-charts/
apache-airflow/airflow,https://airflow.apache.org/
external-secrets-operator/external-secrets,https://charts.external-secrets.io/
external-dns/external-dns,https://kubernetes-sigs.github.io/external-dns/
bitnami/minio,https://charts.bitnami.com/bitnami
cluster-autoscaler/cluster-autoscaler,https://kubernetes.github.io/autoscaler
cilium/cilium,https://helm.cilium.io/
grafana/loki-stack,https://grafana.github.io/helm-charts
grafana/promtail,https://grafana.github.io/helm-charts
argo/argo-workflows,https://argoproj.github.io/argo-helm
rancher-stable/rancher,https://releases.rancher.com/server-charts/stable
fluent/fluent-bit,https://fluent.github.io/helm-charts
metallb/metallb,https://metallb.github.io/metallb
datadog/datadog,https://helm.datadoghq.com
istio-official/istiod,https://istio-release.storage.googleapis.com/charts
sonarqube/sonarqube,https://SonarSource.github.io/helm-chart-sonarqube
bitnami/thanos,https://charts.bitnami.com/bitnami
bitnami/wordpress,https://charts.bitnami.com/bitnami
gitea/gitea,https://dl.gitea.io/charts
kyverno/kyverno,https://kyverno.github.io/kyverno/
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,https://kubernetes-sigs.github.io/nfs-subdir-external-provisioner
nginx/nginx-ingress,https://helm.nginx.com/stable
runix/pgadmin4,https://helm.runix.net/
artifact-hub/artifact-hub,https://artifacthub.github.io/helm-charts/
oauth2-proxy/oauth2-proxy,https://oauth2-proxy.github.io/manifests
bitnami/mariadb,https://charts.bitnami.com/bitnami
bitnami/nginx,https://charts.bitnami.com/bitnami
bitnami-labs/sealed-secrets,https://bitnami-labs.github.io/sealed-secrets/
elastic/kibana,https://helm.elastic.co
mojo2600/pihole,https://mojo2600.github.io/pihole-kubernetes/
hashicorp/consul,https://helm.releases.hashicorp.com
bitnami/metrics-server,https://charts.bitnami.com/bitnami
kedacore/keda,https://kedacore.github.io/charts
sentry/sentry,https://sentry-kubernetes.github.io/charts
bitnami/elasticsearch,https://charts.bitnami.com/bitnami
elastic/eck-operator,https://helm.elastic.co
prometheus-community/kube-state-metrics,https://prometheus-community.github.io/helm-charts
goauthentik/authentik,https://charts.goauthentik.io/
argo/argocd-apps,https://argoproj.github.io/argo-helm
descheduler/descheduler,https://kubernetes-sigs.github.io/descheduler/
argo/argo-rollouts,https://argoproj.github.io/argo-helm
jaegertracing/jaeger,https://jaegertracing.github.io/helm-charts
bitnami/postgresql-ha,https://charts.bitnami.com/bitnami
istio-official/base,https://istio-release.storage.googleapis.com/charts
jupyterhub/jupyterhub,https://jupyterhub.github.io/helm-chart/
bitnami/redis-cluster,https://charts.bitnami.com/bitnami
prometheus-community/prometheus-blackbox-exporter,https://prometheus-community.github.io/helm-charts
kubeview/kubeview,https://benc-uk.github.io/kubeview/charts
airflow-helm/airflow,https://airflow-helm.github.io/charts
istio-official/gateway,https://istio-release.storage.googleapis.com/charts
kvaps/nfs-server-provisioner,https://kvaps.github.io/charts
pmint93/metabase,https://pmint93.github.io/helm-charts
grafana/mimir-distributed,https://grafana.github.io/helm-charts
dex/dex,https://charts.dexidp.io
chartmuseum/chartmuseum,https://chartmuseum.github.io/charts
nats/nats,https://nats-io.github.io/k8s/helm/charts/
cloudnative-pg/cloudnative-pg,https://cloudnative-pg.io/charts/
bitnami/metallb,https://charts.bitnami.com/bitnami
stakater/reloader,https://stakater.github.io/stakater-charts
renovate/renovate,https://docs.renovatebot.com/helm-charts
bitnami/spark,https://charts.bitnami.com/bitnami
codecentric/keycloak,https://codecentric.github.io/helm-charts
elastic/logstash,https://helm.elastic.co
crossplane/crossplane,https://charts.crossplane.io/master/
twuni/docker-registry,https://helm.twun.io
argo/argocd-image-updater,https://argoproj.github.io/argo-helm
prometheus-community/prometheus-node-exporter,https://prometheus-community.github.io/helm-charts
falcosecurity/falco,https://falcosecurity.github.io/charts
uptime-kuma/uptime-kuma,https://dirsigler.github.io/uptime-kuma-helm
aws/aws-node-termination-handler,https://aws.github.io/eks-charts
kong/kong,https://charts.konghq.com
prometheus-community/alertmanager,https://prometheus-community.github.io/helm-charts
